Employee_ID,Age,Gender,Department,Remote_Work,Daily_Work_Hours,Screen_Time_Hours,Sleep_Quality,Physical_Activity_Level,Burnout_Score,Stress_Level,Coffee_Intake_per_Day,Meeting_Hours_per_Day,Internet_Speed_MBPS,Device_Type,Noise_Level,Mood,Commute_Hours_PreRemote,Work_Engagement_Score,Weekly_Mental_Breaks
E001,48,male,Sales,yes,12.0,8,Poor,nan,6.07,Medium,0.0,,20.0,nan,Medium,Stressed,4.0,12.71,0.0
E003,32,nan,hr,No,10.0,nan,nan,nan,5.68,High,4.0,,10.0,Mobile,Low,nan,0.0,3.85,5.0
E001,22,Male,Admin,no,6.0,7,Good,Low,4.33,nan,0.0,1.0,50.0,Desktop,Medium,Happy,0.0,4.75,3.0
E001,34,nan,HR,nan,6.0,10.5 hrs,Fair,Medium,5.57,nan,2.0,1.0,150.0,Desktop,nan,Tired,1.0,7.63,2.0
E001,51,Female,Sales,nan,12.0,10.5 hrs,Poor,High,6.96,Low,,2.0,10.0,Mobile,Low,nan,5.0,5.6,0.0
E004,26,male,Admin,nan,4.0,6 hrs,Good,Medium,2.03,High,2.0,6.0,50.0,Desktop,High,Calm,0.0,5.07,
E006,39,FEMALE,HR,Yes,8.0,10.5 hrs,Poor,High,4.67,Medium,1.0,3.0,20.0,Mobile,nan,Tired,5.0,7.92,5.0
E006,35,male,IT,nan,4.0,10.5 hrs,Poor,Low,5.42,High,0.0,5.0,150.0,Laptop,nan,Calm,2.0,5.47,
E004,34,M,it,nan,12.0,7,Fair,Medium,3.16,Medium,0.0,4.0,20.0,Mobile,Low,Calm,,4.22,5.0
E003,53,Male,hr,Yes,10.0,10.5 hrs,Good,Low,6.86,Medium,2.0,1.0,,Laptop,nan,Calm,2.0,7.45,4.0
E003,28,M,Admin,no,4.0,7,Poor,nan,6.2,Low,,3.0,20.0,Desktop,Medium,nan,1.0,6.75,0.0
E003,29,Female,Sales,No,6.0,8,Good,Medium,7.0,Medium,0.0,,100.0,Mobile,Medium,Tired,1.0,5.37,4.0
E006,28,F,HR,yes,,7,Good,High,9.32,Low,3.0,2.0,50.0,Desktop,Low,Tired,,5.28,
E006,37,FEMALE,it,nan,12.0,8,Fair,nan,5.66,nan,2.0,4.0,10.0,Laptop,nan,Calm,4.0,4.17,5.0
E001,52,Male,it,nan,4.0,7,Good,High,4.43,Low,1.0,6.0,100.0,nan,High,Happy,,7.45,5.0
E004,48,male,hr,nan,,nan,nan,nan,6.88,Low,1.0,3.0,,nan,Low,Stressed,1.0,5.28,5.0
E002,54,FEMALE,Admin,Yes,4.0,8,nan,High,3.82,Low,1.0,5.0,50.0,nan,Low,Happy,3.0,4.46,2.0
E001,50,male,it,Yes,10.0,8,Fair,High,5.93,nan,0.0,6.0,,nan,nan,nan,2.0,3.43,5.0
E005,29,Female,hr,Yes,10.0,10.5 hrs,Fair,Low,7.07,Low,2.0,,50.0,nan,Medium,Stressed,2.0,6.78,0.0
E006,54,F,Admin,yes,10.0,8,nan,nan,6.66,Medium,1.0,1.0,50.0,Laptop,nan,Happy,5.0,4.98,1.0
E001,40,Male,Admin,No,,7,Fair,Low,7.81,Medium,2.0,,150.0,nan,High,Tired,1.0,1.97,2.0
E004,42,Female,IT,nan,8.0,nan,Good,Low,4.45,Low,0.0,5.0,100.0,nan,High,Happy,5.0,3.59,0.0
E005,42,Female,hr,no,,nan,Poor,Low,6.42,Medium,3.0,2.0,10.0,Desktop,High,Calm,1.0,5.53,3.0
E001,46,F,nan,nan,12.0,10.5 hrs,Fair,Low,5.19,Low,3.0,1.0,100.0,Mobile,High,nan,2.0,5.59,0.0
E004,44,Female,HR,nan,12.0,7,nan,High,5.51,nan,3.0,4.0,,Mobile,Low,Happy,1.0,5.51,
E004,32,Female,nan,nan,6.0,7,Poor,Low,5.51,Medium,0.0,1.0,20.0,Mobile,High,Happy,4.0,5.23,0.0
E006,54,male,Admin,nan,6.0,6 hrs,Good,Low,6.08,Low,1.0,,,Mobile,High,Stressed,1.0,3.05,1.0
E002,41,nan,Admin,No,12.0,8,Poor,Low,4.93,High,0.0,5.0,50.0,Laptop,High,Calm,1.0,4.25,2.0
E001,46,M,it,no,4.0,10.5 hrs,nan,High,2.16,nan,2.0,6.0,20.0,Mobile,nan,Stressed,,8.37,3.0
E004,47,male,it,Yes,12.0,nan,Poor,nan,5.31,High,3.0,3.0,100.0,Desktop,Medium,nan,4.0,8.07,5.0
E003,33,F,it,no,8.0,6 hrs,nan,High,5.72,Low,2.0,,10.0,Laptop,Medium,nan,4.0,7.16,2.0
E004,53,FEMALE,Admin,nan,6.0,7,Fair,High,4.92,Medium,0.0,3.0,20.0,nan,Medium,Calm,4.0,6.98,2.0
E002,54,F,hr,no,6.0,8,Fair,High,5.87,Low,4.0,3.0,20.0,Desktop,High,Stressed,5.0,7.81,3.0
E004,31,F,Sales,nan,,nan,nan,nan,4.75,Medium,4.0,,150.0,Desktop,nan,Calm,2.0,3.76,
E006,25,F,hr,no,6.0,6 hrs,Fair,Low,4.46,Low,0.0,,100.0,nan,Low,Stressed,,6.07,3.0
E001,36,F,HR,yes,12.0,7,Good,Low,7.78,Low,1.0,,20.0,nan,nan,Tired,1.0,3.76,1.0
E006,27,Female,hr,no,6.0,nan,Poor,nan,9.51,Medium,,2.0,100.0,Desktop,Low,Calm,4.0,3.79,
E001,48,F,it,Yes,6.0,nan,nan,nan,6.76,Medium,2.0,2.0,10.0,Laptop,nan,nan,4.0,6.74,4.0
E005,26,FEMALE,IT,Yes,,7,nan,Medium,3.85,Low,0.0,3.0,20.0,nan,Medium,Stressed,2.0,7.89,1.0
E001,26,F,HR,no,12.0,7,nan,Low,5.45,High,0.0,4.0,10.0,Mobile,Medium,Tired,3.0,5.61,
E005,39,male,nan,no,4.0,10.5 hrs,Good,High,5.3,nan,4.0,5.0,,Desktop,High,nan,1.0,9.3,
E006,49,Female,IT,No,6.0,nan,Good,High,6.34,High,3.0,4.0,20.0,Desktop,Medium,Stressed,3.0,6.42,5.0
